entry	familiarity	concreteness	imagery	meaningfulness	age of acquisition
kiss	592	564	633	513	
kite	481	592	624	408	
kitten	517	612	639	447	219
knee	599	593	597		231
knew	557	291	267	305	
knife	573	612	633	466	
knight	505	579	608	438	
knitting	501	583	578		286
knob	534	586	554	426	
knocker	352				
knoll	374	486	444	323	
know	605	274	278	439	
knowledge	575	278	348	508	477
known	545	226	310	353	
knuckle	491	586	520	337	356
ku-klux	360				
labour	559	406	424		506
labyrinth	313	515	453	318	
lace	468	545	506	402	
lack	532	311	302	360	
lad	490	548	534	427	306
ladder	507				
lady	573	564	571	558	231
lagan	111	246	190	135	
laid	507	350	493	427	
lain	342	331	328	249	
lair	365	475	454	330	
lake	583	585	616	497	
lamb	519	633	614	445	186
lament	390	320	353	327	
lamp	578	615	575	442	283
lancer	357	504	413	284	
land	574	604	566	508	286
landscape	503	542	608		
lane	525	537	543	416	261
lantern	441	630	575	448	
lap	505	540	531	392	263
lapel	362				
larch	406	623	508		406
lard	458	517	491	357	
large	634		449		
lark	436	578	573	379	
larkspur	209	482	263		622
last	587	299	367	470	
latch	432	578	464		386
late	584	262	387	423	
lateral	382				
latest	578		288		
lathe	295	481	356	246	
latter	444	280	256		536
laud	287	294	288	246	
laugh	594	433	528	528	
laughter	570	411	613		322
launder	348		432		
laundry	502	576	559		367
law	562	349	409	455	383
lawful	500		307		
lawn	534	588	608	460	
lawyer	520	569	557	457	481
lax	396	315	363	341	
lay	566		426		
lazy	559	354	464	439	
lead	526	543	488	400	400
leader	559	487	502		353
leaf	556	593	608	437	
leaflet	433	570	534		
leak	514	472	545		336
leal	129	266	280	188	
lean	549	395	472	477	
leap	539	389	494	510	
learn	552	370	361	433	
learning	565	303	370		322
lease	504	371	426	377	
least	529	275	302	313	
leather	571	575	586	434	
lecture	624	451	564		536
lecturer	574	561	551		
led	526	370	394	356	
leek	431	621	540		389
lees	232	306	271	203	
left	592	341	383	315	
leg	589	626	601	503	
legality	458	302	310	421	572
legendary	466	272	413	402	
leghorn	223	472	262		625
legislation	466	397	367		
legitimate	487	265	321	420	
legume	258		473		
lemon	518	608	632	470	280
lemonade	522	615	606	458	
lend	566		327		
length	591	365	395		322
lenient	473	285	375	407	
lens	519	573	556	385	475
leopard	431	595	635		
less	541	266	286	305	
lessen	457	287	251	358	
lesson	559	404	446	489	272
letter	610	577	595	433	256
lettuce	565	579	608	423	
level	504	422	385	403	
lever	518	572	515	411	
levity	314	297	321		631
lewd	290		324		
liar	534	409	425	428	308
liberty	467	302	392	457	528
library	580	564	587	453	
lice	397	543	532	386	
lichen	365	547	404	292	
lie	548	357	385	447	250
lien	204	332	317	171	
lieutenant	436	560	512	463	461
life	598	361	482	533	
lift	555	461	482	415	311
light	575	550	542	533	
lighter	538	400	458	400	
lighthouse	410				
lightning	465	525	599		331
like	610	286	352	516	
likeable	542		383		
liken	385	322	322	300	
lily	437	609	541	417	317
limb	526	590	580	456	
lime	447	590	563	400	378
limelight	384	379	480	370	
limited	511		281		
limn	123	275	206	127	
limousine	505	624	595	505	
limp	494	481	512	400	
line	591	477	491	463	275
linen	515	581	551	415	386
link	474	488	481		
links	468	454	454	324	
lint	479	537	513	310	
lion	511	627	626	498	244
lip	568	590	619		
liquid	578	555	589		343
liquor	579	630	576	538	
lire	261	449	326	261	
lisp	409	429	464		486
listen	543	408	378	433	
listless	358		359		
liter	462	482	412	371	
literal	468	295	261	306	
literature	529	462	487	520	494
little	594	378	502	546	
littoral	165	273	224	163	
live	608	436	446	522	
lively	582		429		
liver	481	617	571	387	353
lizard	483	588	632	403	
load	562	439	461	452	
loafer	479	417	456	423	
loan	535	372	430	395	428
lobby	420	532	462		406
lobster	472	590	630	407	
lock	588	565	532		328
locker	538	586	569	403	
locomotive	405				
lode	270	342	363	280	
lodge	429	538	464		456
log	466				
logic	504	250	294		550
logical	539		295		
logos	140	299	288	187	
lone	464	325	457	377	
lonely	581		443		
long	579	381	471	492	
look	607	376	395	432	225
loon	303	481	348	275	
loop	494	490	492	397	
loose	594		397		
loot	470	542	579	448	
loquacity	144	326	321	219	
lord	518	409	482	525	342
lorry	198	420	383	236	
lose	534	299	373	390	
loss	558	313	409	463	331
lotion	479	534	497	388	
loud	577	413	448	479	
love	619	311	569	548	303
lovely	523	318	491	505	
loving	573		497		
low	580	322	378	427	
lowland	381	497	453		447
loyalty	491	261	411		497
lubricant	454	520	515		
luck	587	275	399		292
lumber	465	560	530	447	519
lump	501	542	546		
lunch	616	552	602	485	275
lune	160	328	252	202	
lung	546	569	576	435	
lunge	394	376	459		508
lure	451	422	389	358	
lust	472	324	444	468	
lute	287	509	429	316	
luxury	506	346	507		472
lye	414	515	372	318	
lymph	330	501	383		675
lynx	301	568	461	293	511
lyre	288	538	426	285	
macaroni	498	631	608	459	381
machine	549	578	575		
machinery	528	545	526		409
mackerel	398	636	540		436
mad	590	308	479	569	
madame	414		504		
made	579	327	351	383	
madman	407	470	545		417
madness	473	289	422		
magazine	585	588	588	493	353
magic	481	257	458		281
magician	528	560	569	412	
magnate	271	413	379	267	
magnesium	372	547	391		625
magnet	526	550	543	365	
magnitude	431	333	303		
mahogany	451	513	500	333	
maiden	374	545	554		429
mail	554	508	548	430	
main	574	324	309	361	364
mainly	583		237		
maize	334	453	420	274	
majestic	391		446		
major	558		395		
majority	546	338	390		531
make	618	299	322	474	
maker	487	426	379		358
malady	287	379	370		
malaria	356	506	484		
male	588	564	587	533	383
malice	354	248	365		
malicious	406		397		
mall	330	459	383		589
mallet	388	623	557	348	
mammal	458	549	541		
man	623	618	567	607	
manage	508		303		
management	518	381	415		508
mane	416	554	528	377	
manganese	332	540	413		661
manicure	382	449	451		536
mankind	500	406	452		467
manner	546	297	342	367	
manor	424	523	508	361	419
mansion	489	579	628	490	
mantle	438	579	596		
manufacturer	480	467	362		525
manure	458	644	534	453	
manus	113	315	238	157	
many	599	276	393	459	
map	545	565	587	460	
maple	518	534	511	413	
mar	353	302	453	312	
marble	436	611	605		294
march	539	440	497	436	269
mare	460	549	529	426	
margin	499	472	494		403
mark	533	464	434	376	
market	518	551	583		328
marl	185	394	186		686
maroon	492	486	503	394	
marriage	559	398	556		383
married	615		568		
marry	557	362	523	461	
martial	460	338	412	318	
marvel	465	293	410		489
mash	481	418	472	382	
mass	473	397	484	444	458
mast	427	576	558	303	392
master	495	498	495		
mastery	371	279	324		
mat	490	513	537	363	
match	558	535	490	461	
mate	553	507	506	502	
material	559	539	490		378
maternity	389	341	502		583
math	548	386	487	425	
mathematical	541	328	430	469	
mathematics	565	413	480	464	
matter	563	439	298		411
mattress	524	640	601	450	
mature	570		363		
maturity	475	234	429		553
may	576	332	370	405	
maybe	598		222		
mayor	443	507	523	393	436
maze	434	528	555	408	414
me	607	511	430	521	
meadow	478	594	622		272
meal	603	602	573	548	
mean	539	313	419	565	
meant	499	226	282	303	
measles	487	568	582	398	
measure	555	366	379		344
meat	589	587	618	506	
mechanic	467	580	530		433
mechanical	533	385	482	470	
medal	494	571	529	420	
medallion	338	577	565		
medicine	547	517	551		311
mediocre	403		322		
mediocrity	339	217	258		636
meek	470	299	392	470	
meet	575	341	438	462	
meeting	575	403	451	431	356
melancholy	431	329	370	421	
melee	293	414	313		626
melon	441				
melt	521	413	461	397	
member	573	455	399		392
memory	573	284	391	430	
men	621	586	587	616	236
menace	425	377	398		
menad	96	263	167	167	
menu	550	555	613		433
mercenary	315		436		
merchant	439	517	472		408
mercury	467	537	521	333	
mercy	460	239	373		
merit	475	308	380		444
mermaid	391	494	578	342	322
merry	526	370	519	513	
message	557	459	438	482	
messenger	491	527	505		383
metal	559	582	541	466	308
metaphor	479				
method	556	303	304	402	481
methodical	404		337		
methylene	323	558	405		681
meticulous	354		337		
metis	101	248	199	133	
metronome	225				
metropolis	398	504	572		
mica	253	474	397		626
microbe	339	482	394		622
microscope	493	591	617	389	
midnight	569	396	602		328
midshipman	259	532	369		575
mien	143	283	253	200	
might	533	271	346	380	400
mild	556	330	359	437	
mile	568	460	511	398	314
mileage	558	421	460		
military	458	417	478		428
milk	588	670	638	515	
million	519	364	440		419
millstone	370	578	526		464
mimic	464	329	390	378	
minaret	168				
mince	384	430	419	317	
mind	591	333	373	437	
mine	557	452	522	435	
miner	521	551	569	397	
mineral	454	527	432		469
minister	500	563	584	487	342
mink	524	589	604	452	
minnow	408	621	554	420	397
minor	536	353	376	458	
minstrel	390	530	522	367	
minute	621	361	473	487	264
miracle	421	282	367		
mirage	442	377	489	390	
mirror	593	605	627	469	258
mischance	355	270	248		536
mischief	413	325	422		
mischievous	475	292	455	434	
misconception	445	251	292	380	
misery	494	297	444	497	450
mismanagement	407	295	286		597
miss	586	372	447	452	
missile	504	597	602	482	
mist	499	497	637		367
mistake	584		380		
mistaken	572		290		
mister	529	349	365	348	
mistress	472	530	535		517
misuse	457	318	367	425	
mite	291	463	387	289	
mixer	518	574	536	450	
mixture	588	356	433		350
moan	510	379	475		328
moat	443	509	497	312	
moccasin	475	611	573	436	
mocker	295	432	372		547
modern	579		368		
modernist	278	356	294		614
modest	546		341		
mohair	377	583	508		583
mohur	43	266	158	128	
moisture	462	545	513		
molasses	309	578	451		606
mold	503	486	454	393	
mole	484	590	567	372	
molecule	464	453	470	411	
moment	560	301	334	402	350
monad	113	247	186	149	
monarch	428	525	572		456
monastery	461	564	550	416	
money	631	574	604	536	247
monk	401	570	606		
monkey	531	566	588	448	
monocle	301	603	529		531
monsoon	336	508	498	345	508
month	598	345	448		
monument	455	558	543		444
mood	541	234	394		
moon	585	581	585	442	
moonlight	467	456	613		378
moose	518	616	604	420	
mop	443				
moral	535	220	341		539
morass	195	415	256		647
morbid	465	358	420	430	
more	612	284	264	351	
morgue	434	572	589	452	
morning	605	515	579	510	
morphine	446	580	550	433	
mortal	454	406	402		508
mortar	368	548	449	344	551
mortgage	506	422	358	413	
mosque	316	478	461	361	
mosquito	512	595	612	422	
moss	436	575	569	373	
most	560	321	306	340	
mote	323	397	438	264	
moth	496	550	577	398	
mother	632	579	638	584	144
motion	541	367	416	454	
motive	540	255	275		511
motor	545	565	521		344
mountain	574	616	629	573	283
mournful	431		475		
mouse	520	624	615	426	242
mouser	208	347	329	261	
mousse	363	492	439	290	
moustache	481				
mouth	572	568	613	498	
mouthpiece	495	608	549	400	
move	572	390	413	428	
movie	523	590	571	477	386
much	584	242	332	380	
mucin	128	304	217	141	
mucous	264	539	538		
mucus	447	565	570	366	
mud	519	605	582	472	239
muddy	541		522		
mug	527	576	574	477	
mule	455	592	608	408	339
multiplication	568	387	476		
multitude	447	361	436		494
mural	451	515	515	372	
murder	528	445	549	536	381
muscle	540	573	553		397
muscular	527		570		
music	599	512	549	569	272
musical	538		451		
musician	558	564	585		
mussel	396	618	556		414
must	589	297	247	300	
mustard	532	595	599	388	
mutilation	363	452	502		574
mutiny	428	367	447	385	
mutton	337	538	484	334	
muzzle	369	585	513		461
my	612	253	298	300	
mystery	548	256	472		342
mystic	455	345	495	442	
myth	514	334	359	420	
nabob	83	225	213	168	
nadir	218	279	254	184	
nag	492	392	508	456	
naiad	74		198		
nail	563	598	588	403	272
naive	460		354		
name	573	405	475	474	
namesake	377	356	348		519
napkin	495	585	582	357	342
nares	94	320	169	171	
narrow	546	372	491	451	
narrowness	401	303	397		417
nasty	507		387		
nation	508	415	436	457	425
national	556		400		
native	508	471	507	447	425
natural	594		376		
nature	535	414	513		342
naughty	501		407		
naval	476	519	535	407	
nave	203	402	282	225	
navel	485	583	546	437	
navy	465	472	562		353
near	582	337	408	465	
nearly	611		305		
neat	528	314	495	493	
necessity	521	273	306		511
neck	576	587	622	434	
necklace	536	633	606	457	
nectar	344	556	523		
need	589	314	327	473	
needle	533	608	589	435	264
neglect	509	282	372		467
negligent	423		339		
neighbour	565	515	548		323
neighbourhood	507	429	456		403
nephew	452	541	443		
nerve	554	488	486	439	480
nervous	572	338	465	490	
nest	521	557	571	440	
net	514	577	540	394	269
neurotic	456		417		
neuter	368	336	327	334	
neutral	491		300		
neutrality	409	267	308		597
never	572	259	351	397	
new	614	348	418	525	
newborn	383	452	532		406
news	560	437	484	507	
newspaper	641	576	616		292
newt	335	606	472		428
next	548	262	386	349	
nice	583	279	375	525	
nicety	302	242	221		569
nickel	559	597	572	431	
nidus	85	296	213	133	
night	636	496	607	533	222
nightfall	460	511	588		
nightgown	506	644	564	452	
nightingale	375	621	551		419
nine	571	452	494	424	
nip	477	515	486		303
nisus	70	337	211	160	
no	605	318	361	452	
nob	265	492	372		475
noble	410		383		
nod	552	437	508		203
noel	409	363	463	360	
noisy	609		215		
noll	221	401	297	213	
nomad	342	512	516		511
nonchalant	360		366		
none	569	288	425	422	
nonsense	522	256	349		336
noodle	499	588	530	385	
noose	304	542	593		
nope	481	270	315	328	
nor	429	190	243	264	
normal	602	237	294		375
nose	584	628	605	472	206
nostalgia	360				
not	565	273	253	260	
note	594	525	503	438	292
notice	634	479	467		369
noun	518	387	368	436	414
novel	530	529	547	476	475
now	605	309	276	339	
nowhere	521	222	299	385	
noxious	270		363		
nozzle	412	555	513		411
nude	556				
numb	487	379	477	369	
number	599	395	489	473	239
nun	500	583	617	435	
nurse	537	588	617	452	256
nursery	461	528	542	422	
nutmeg	354	586	526		
nutrient	399	432	378		611
nymph	332	424	546		
oak	515	588	590	423	311
oar	496	572	592	377	
oasis	341				
oat	484	553	499	357	
oath	402	331	443		408
oatmeal	471	552	558	346	
obedience	500	238	394		
obedient	500	317	364	395	
obelisk	131				
obese	424	492	563	535	
obey	538		352		
object	586	487	408		339
oblique	407	351	310	280	
oblivion	379	242	386		639
oblivious	468	306	347	360	
obnoxious	454		363		
oboe	325	586	471	374	
obscure	434	320	354	362	
observation	500	326	345		539
observer	469	505	489		486
obsession	456	243	409		
obstinate	390		373		
obstruction	445	421	413		542
occasion	566	346	305		
occasional	503	315	276	350	
occupation	529	381	375		489
ocean	526	593	623	522	317
octagon	366				
octopus	370				
ode	360	381	344	338	
odour	454	472	556		461
of	598	180	217	217	
off	608	281	326	403	
offal	276	583	402		633
offend	498	321	372	454	
offensive	521		378		
office	566	569	518	425	
officer	549	550	593		
offshoot	329	365	335	262	586
oh	563	233	274	257	
oil	548	581	573	413	303
okay	555	245	269	414	
old	616	349	478	568	
older	548	348	479	458	
olive	444	618	578	351	458
omen	394	319	413	402	558
on	614	262	268	290	
once	539	315	322	420	
one	613	379	432	446	
onion	550	632	617	452	286
only	600	218	255	330	
onslaught	338	346	374		600
opal	418	533	490	305	
open	581	381	425	402	
opening	542	455	462		336
opinion	550	285	359		
opium	436	552	487	413	
opponent	495	440	408	432	
opportunity	567	306	335		475
opposition	483	316	359		550
optimism	500	240	418		542
optimistic	484		378		
or	589	248	224	222	
oral	503		378		
orange	567	601	626	467	203
orchestra	533	578	619	477	
orchid	456	599	597	375	
order	570	344	352	397	344
orderly	503	388	419	451	
ordinary	584		271		
organ	510	596	576	455	356
origin	537	319	306		492
original	525		324		
originality	488	257	335		500
originate	507	285	311	423	
originator	409	491	365		
ornament	460	615	594		303
ornate	401	339	419	370	
oscillation	330	333	440		667
osculation	138	410	318		
ostentation	294	262	280		653
ostrich	358				
other	581	275	265	307	
otter	391	631	572		383
ounce	565	502	457	459	
our	602	245	315	358	
out	608	249	330	430	
outbreak	471	358	359		444
outcome	489	318	295		
outfit	489	515	487		417
outgoing	524		352		
outhouse	378	573	494		461
outlandish	307		332		
outpost	368	462	378		481
output	487		324		
outset	394	305	270		509
outside	607		419		
outsider	468	468	518		
outspoken	537		354		
oven	577	593	599	407	236
over	589	287	327	423	
overcoat	441	611	552		381
overlap	472	371	399		444
overproduction	348	297	316		592
overshoe	251	553	378		550
overtone	381	300	268		589
owl	477	614	595	397	269
own	598	317	337	485	
owner	564	468	425	459	
ownership	464	336	362		
ox	364	633	548		329
oxide	397	462	337	364	
oxygen	529	484	430	388	
oxymoron	164				
oyster	453	573	521	366	
pacifism	375	279	383	411	
package	497	580	529		364
pact	361	372	364		531
padlock	387		523		
paean	133	281	261	178	
page	603	571	555	380	267
paid	577	386	429	487	
pail	453	538	508	354	
pain	569	426	502	557	
paint	551	577	567	402	
painter	575	568	565		
painting	527	615	602		258
pair	544	377	480	510	
palace	462	579	612	484	294
pale	499	385	532	423	
palette	301	565	437		542
pall	274	362	271	231	
palm	515	596	555	421	333
pampas	252	570	410		597
pan	566	586	532	451	
pancreas	396	573	453		656
pane	395	506	410	346	
panic	546	324	501	494	
panoply	194	411	213		672
panorama	381	397	464	400	
panties	498	597	574	471	
pants	575	619	630	510	
paper	635	599	590	460	229
parade	526	523	578	463	
paradise	414	326	516		456
paradox	394	257	334	315	
paragraph	559	493	482	419	
parallelism	275	260	324		647
parallelogram	387				
parcel	503	525	509	418	
pardon	532	307	355	413	342
pare	335	361	392	260	
parish	434	434	483	411	
park	571	579	573	508	219
parliament	511	456	475		508
parry	209	311	328	213	
part	579	339	340	337	314
participant	430	439	370		575
particular	514		274		
partner	555	500	513		344
party	619	496	596		
pass	535	385	479	440	
passage	525	558	525		356
passenger	543	562	529		378
passing	566		368		
passion	502	300	467	487	
passionate	507		495		
passive	505		307		
passport	429		546		
past	545	293	446	437	
paste	504	559	529	427	317
pastor	461	567	488	367	
pasture	414	562	562		386
pat	492	400	386	395	
patch	528	558	529	423	
patent	426	400	375		
path	531	504	537	447	
pathetic	460	256	397	422	
patience	533	266	363	429	403
patient	538	487	526		366
patron	425		376		
pattern	555	472	453		319
paul	486	524	440	357	
pause	517	306	347	410	414
pavis	104	283	194	139	
pawn	477	480	479	376	
pax	264	274	277	282	
payment	527	432	472		439
pea	524	614	568	385	
peace	571	309	446	503	
peaceful	560	360	426	527	
peacemaker	456	432	416	474	
peach	536	617	613	459	292
peal	451	402	433	381	
pear	567	634	590	494	
pearl	508	597	590	392	
peasant	422	550	540		419
pebble	477		546		
peck	471	432	494		300
pedal	512	602	556	411	306
peddle	501	482	508	377	
peek	469	411	446	362	
peel	507	432	436	387	
peep	418	388	437		289
peer	460	406	376	358	
peg	462	537	538	338	
pelt	371	526	517	346	439
pen	554	571	576	425	
pencil	598	617	607	449	225
pendulum	407	583	605		422
penguin	360				
penicillin	494	590	501	455	
penitent	264		334		
penny	613	606	609	470	186
peon	365	440	455	390	
people	628	540	548	612	281
pep	445	314	466		
pepper	554	591	587	378	269
perception	558	287	355		
perch	396	576	462		414
perdition	222	272	180		675
perfect	613		404		
performance	530	409	453		457
performer	479	529	530		
perhaps	590		220		
period	573	358	429		458
periodical	477	538	492		
perish	483	329	404	434	
perjury	405	323	353	367	
permanent	526	336	390	447	
permission	533	425	331		
permit	516	399	388	435	458
perpetrator	307	409	272		653
perry	326	350	356	248	
perse	187	313	271	210	
persecution	423	300	416		575
persistent	524		344		
person	620	562	562		
personal	559	311	408	453	
personality	575	311	405		508
personnel	482	429	375		575
persuasive	475		366		
perturbation	255	222	232		658
peso	318	520	463	342	
pessimistic	517		400		
pest	482	479	445		306
pestle	209	465	341	241	
pet	541	557	589	582	219
petal	466	586	508	397	
pew	394	554	531	359	431
pewit	96	294	229	134	
phaeton	132	383	221		689
phantom	387	364	499	423	
phase	516	360	319	373	
phial	273	545	394		653
philology	183	272	162		692
philosophy	491	257	348	438	622
phone	550	624	587	460	
photograph	551	590	618	520	317
phrase	521	321	342	377	
physician	472	573	572		561
physics	483	406	425	380	
pianist	473	565	608		
piano	545	615	630	487	253
pick	524	502	513	430	
pickle	562	606	641	416	
picture	597	579	581		219
picul	64	308	174	161	
pidgin	274	372	390	234	
pie	576	613	604	482	
piece	511	384	395	387	
pier	436	588	545	380	
pierced	469		475		
pig	509	614	635		233
pigeon	499	609	610	411	325
pile	521	504	513	421	
pill	556	610	580	497	
pillow	602	613	624	471	217
pimple	557	579	617	439	
pin	524	600	576	425	261
pine	557	592	617	487	
pineapple	489	653	569	435	
pint	536	483	487	418	
pioneer	346	467	416		497
pious	411	288	378	403	
pipe	535	602	598	465	
piping	451	538	491		436
pique	200	329	293	198	
piston	409	586	526		
pit	493	593	589		314
pity	516	303	391	420	353
placard	300	448	382	265	
place	612	427	377	456	269
plaice	149	314	226	165	
plain	551	426	463	477	361
plait	216	353	319	223	
plan	571	357	379	431	
plane	558	535	556	472	
planet	457	523	578		414
plank	483	592	598		
plant	592	594	605	521	
plate	556	595	527	460	
platform	498	547	529		386
platter	478	593	576	390	
plausible	435		278		
play	586	468	498	497	192
playful	572		463		
playing	582	379	464	526	
plaza	228	479	351		642
plea	478	308	347	416	
plead	438		393		
pleasant	547		390		
pleasing	551		368		
pleasure	583	302	511		394
pledge	442	360	408	375	
plenipotentiary	128	351	129		697
plentiful	518	317	408	457	
pliable	411	377	364	335	
pliers	499	645	588	408	
plot	515	379	420	412	422
plug	575	558	583		242
plum	547	632	611	470	
plumb	461	459	501	351	
plunge	441	396	548		406
pocket	590	578	558	413	228
podium	455	546	508	367	
poet	544	552	518		
poetry	512	425	486		386
point	538	464	481	376	
poison	504	527	513		364
pole	510	577	579	420	
policeman	570	574	629		
polio	463	555	561	397	
polish	485	535	494		336
polite	539	342	393	438	
politician	556	494	507		511
polka	281	477	475		571
poll	453	429	488	387	
pollen	488	584	526	421	
pollution	555	463	509	508	
polo	446	495	524	305	
polyp	185	435	235		678
pommel	228	323	280	208	
pompous	313		380		
pond	506	623	599		239
pony	524	611	642	439	
pool	541	573	577		239
poor	548	311	447	531	
pope	489	593	576	436	
popular	626		422		
population	543	406	391		469
porch	455	596	586		319
pore	437	492	447	339	
pork	538	585	522	435	
port	481	531	546	405	372
portal	252	545	505		
porter	487		536		
portion	507	384	399		411
portrait	427	570	565		
portray	486	337	377	349	
position	559	351	346		375
possession	512	379	410		469
possessive	478		383		
possible	595		249		
post	586	533	518	398	306
poster	545	592	600		
pot	577	584	598	538	217
potato	612	629	617	484	233
pouch	373	568	513		367
pound	618	515	553	475	308
pour	545	356	495	393	
poverty	529	343	502		
powder	521	513	524	377	
power	556	325	450	505	
practical	585	331	358		489
prairie	416	575	569		433
praise	502	354	467	468	
pray	528	372	444	403	
prayer	507	381	492	441	269
preaching	454		441		
precaution	477	300	367		525
preception	558				
precious	513		424		
precipitate	429	350	426		633
precise	507		324		
precursor	270	371	205		671
predicament	433	277	365		
predict	515	288	372	400	
preference	519	219	281		536
prefix	407	370	353	337	
prejudice	508	340	419	462	
preliminary	409		254		
prelude	383	364	340		572
preparation	532	338	313		494
preposition	419	353	317	357	
presence	514	326	339	402	456
present	569	389	481		
presentable	456		341		
president	538	526	572	516	458
pressure	544	379	446		444
prestige	441	248	394		
pretence	453	227	307		500
pretty	584	341	520	548	
prevalent	418	255	274	361	
previous	545		276		
prey	443	464	500	436	439
pride	564	270	424	469	
priest	484	561	568	485	411
prim	366		361		
primary	497	326	367		297
prime	492	360	386	475	
prince	506	542	606	497	
princess	502	568	547	428	
principal	491	381	402		525
principle	496	245	305		533
prior	444		274		
prison	462	570	593		
prisoner	485	548	565		361
private	570	350	432	448	
prize	508	474	517	441	
problem	596	360	411	482	367
procession	462	500	534		414
produce	534	432	396	418	431
product	562	516	435		
production	545	318	347		486
productive	523	309	350	418	
profession	543	374	406		
professional	520	379	383		494
professor	583	549	587	523	519
proficient	384		346		
profile	445	510	572		
profit	552	364	497	468	
profiteer	333	417	297		636
programme	580	411	458		332
prohibit	516	301	373	472	
projectile	347	532	486		597
projector	477	548	584	318	
promenade	382	538	526		467
promise	598		320		
promised	566		298		
promising	489		300		
promotion	532	368	367		
prong	409	530	499		439
pronoun	480	346	402	349	
proof	546	328	339	413	456
prop	444	474	450	293	
propeller	491	593	599	395	
proper	546		295		
property	531	460	466	461	447
prophet	503	450	467	390	
proportion	529	305	329		511
proprietor	423	518	475		561
prosaic	198		283		
prosecutor	454	520	497		
prosper	503	356	392	419	
prosperity	477	301	436		567
prosperous	520		436		
protection	519	308	410		461
protest	530	339	472		475
protocol	306	264	258	229	
proud	570	327	434	446	
provender	148	326	162		683
provided	576		264		
provincial	421	339	322	312	
provision	453	432	343		508
prow	252	485	307		583
proxy	350	365	334	327	
prune	444	611	578		347
psalm	418	409	427	348	
psychologist	556	505	470		606
psychology	549	350	353	475	
public	602	356	448		400
puck	281	472	370		572
pudding	510	593	588	469	
puddle	521	604	562	430	
pugilist	189	419	264		656
pull	565	360	446	410	
pulpit	415	562	551	370	
pummel	287	387	308	290	
pump	497	556	556	389	344
punch	483	548	527	485	306
punctual	440		368		
puncture	431		465		
punish	536	344	474	519	
punishable	429		303		
punishment	515	358	418		342
puny	426	327	395	427	
pup	531	544	624	484	
pupil	547	570	572	502	
puppet	382				
puppy	522	623	635		203
pure	590		366		
purl	166	313	310	195	
purpose	572	280	280		428
purse	533	572	567	433	
purser	296	479	362		592
push	564		395		
put	539	287	263	297	
puzzle	486	449	510		320
pyramid	386	615	613		397
python	308	580	559	364	
quack	467	459	446	423	
quaich	85	251	201	150	
quail	376	600	505	405	536
quake	474	440	463	397	
quality	560	274	349		
quantity	557	340	349		419
quarrel	463	379	479	515	
quart	568	504	545	431	
quarter	569	509	531	450	334
quean	126	377	263	195	
queen	527	537	612	456	247
querulous	148		293		
quest	413	316	460		
question	588	387	398	423	314
questionable	485		329		
quibble	336		393		
quick	570	343	363	453	
quicken	469	380	335	375	
quickly	581	292	376	473	
quickness	478	288	372		392
quiet	577	389	426	451	
quietude	220	267	286		642
quill	409	595	530	359	
quilt	490	613	554	444	
quire	179	233	240	197	
quiver	368	485	505		460
quotient	405		341		
rabbi	515	572	557	430	
rabbit	523	635	611	433	206
race	543	463	457	441	
rack	486	535	439	337	
racket	486	562	530		386
racketeer	329	533	502		
racquet	480	513	522	397	
radical	500		346		
radio	644	615	613		317
radish	456				
raft	483				
raid	487	407	476	420	391
rail	505	540	556	385	
railroad	493	579	596		
raiment	222		373		
rain	604	600	618	475	211
rainbow	431		604		
raise	534	340	418	431	
raised	545		376		
rake	476	597	550	380	336
ram	468	541	546	384	
ramp	504	538	527	344	
rampant	247		337		
ramrod	253	509	418	287	
ranch	379	561	519		403
rancid	309	342	364	398	
range	515	417	413		436
rap	501	404	388	386	
rape	555	472	565	468	
rapid	524	415	387	473	
rare	559	327	439	482	
rarity	373	265	270		550
rash	485	523	520	403	
raspberry	513	594	636	400	
rat	548	624	588	468	
ratal	119	279	193	178	
rate	527	308	311	416	456
rating	478	309	310		
ration	473	390	392	377	
rational	458		298		
rattle	448	549	554		261
rattlesnake	493	586	611	377	
raw	509	399	470	413	
ray	480	470	556		322
raze	281	336	271	277	
razor	511				
reach	577	368	391	395	
reaction	533	312	395		506
read	568	420	499	467	
reading	581	377	436	461	
real	596	285	313	464	
reality	551	296	315	435	469
really	562		246		
realm	376	303	324		561
reap	441	373	408	389	
reaper	401	455	462	338	
rear	547	402	455	500	
reason	601	332	285	393	383
reasonable	585		305		
rebec	92	229	224	151	
rebel	448	439	497		461
rebellious	490		463		
rebus	131	299	201	174	
recall	526	319	424	425	
receipt	498	474	432		517
receiver	541	420	504	468	
recent	513		298		
receptacle	383	545	426		561
receptive	487	323	302	405	
recess	456		415		
reciprocal	399	308	278		656
recital	468	476	495		
reckless	517		395		
reckoning	428	237	283		525
recognition	507	266	388		
recollection	425	295	308		533
recommend	529	278	313	377	
record	609	558	591		322
recreant	179	333	167		656
recruit	471	393	412	390	
rectangle	498	554	590	440	
rector	448	517	494		561
red	607	501	585	445	
redeemer	370	366	353		531
reduction	509	313	332		508
reed	430	564	520	344	369
reel	456	502	487	369	
referee	534	554	564	465	
refined	488	302	353	371	
refinement	436	272	375		550
reflection	505	339	567		
reflex	515	402	476		
reformation	349	248	280		603
refrain	523	325	370	418	
refresh	502	362	374	385	
refrigerator	545	574	612	395	
refuse	518	426	419	437	394
regency	373	358	316		586
region	511	441	459	469	
register	471	500	483		408
regret	529	260	359		428
